Frame index, Frame time (ms), DLSS-G Frame Duration (ms), CPU memory (MB), GPU memory (MB)
0, 8.47, 8.47, 0.00, 0.00
1, 7.91, 7.91, 0.00, 0.00
2, 8.26, 8.26, 0.00, 0.00
3, 7.92, 7.92, 0.00, 0.00
4, 8.52, 8.52, 0.00, 0.00
5, 7.82, 7.82, 0.00, 0.00
6, 8.58, 8.58, 0.00, 0.00
7, 7.91, 7.91, 0.00, 0.00
8, 8.09, 8.09, 0.00, 0.00
9, 8.34, 8.34, 0.00, 0.00
10, 7.89, 7.89, 0.00, 0.00
11, 8.33, 8.33, 0.00, 0.00
12, 7.76, 7.76, 0.00, 0.00
13, 8.28, 8.28, 0.00, 0.00
14, 8.48, 8.48, 0.00, 0.00
15, 7.95, 7.95, 0.00, 0.00
16, 8.14, 8.14, 0.00, 0.00
17, 8.10, 8.10, 0.00, 0.00
18, 8.38, 8.38, 0.00, 0.00
19, 8.86, 8.86, 0.00, 0.00
20, 8.27, 8.27, 0.00, 0.00
21, 7.69, 7.69, 0.00, 0.00
22, 8.30, 8.30, 0.00, 0.00
23, 7.37, 7.37, 0.00, 0.00
24, 8.80, 8.80, 0.00, 0.00
25, 7.78, 7.78, 0.00, 0.00
26, 8.29, 8.29, 0.00, 0.00
27, 7.75, 7.75, 0.00, 0.00
28, 8.29, 8.29, 0.00, 0.00
29, 7.96, 7.96, 0.00, 0.00
30, 8.27, 8.27, 0.00, 0.00
31, 7.94, 7.94, 0.00, 0.00
32, 8.14, 8.14, 0.00, 0.00
33, 8.77, 8.77, 0.00, 0.00
34, 7.65, 7.65, 0.00, 0.00
35, 7.77, 7.77, 0.00, 0.00
36, 7.92, 7.92, 0.00, 0.00
37, 8.06, 8.06, 0.00, 0.00
38, 8.30, 8.30, 0.00, 0.00
39, 8.14, 8.14, 0.00, 0.00
40, 7.79, 7.79, 0.00, 0.00
41, 8.42, 8.42, 0.00, 0.00
42, 7.79, 7.79, 0.00, 0.00
43, 8.30, 8.30, 0.00, 0.00
44, 8.34, 8.34, 0.00, 0.00
45, 8.06, 8.06, 0.00, 0.00
46, 7.69, 7.69, 0.00, 0.00
47, 7.39, 7.39, 0.00, 0.00
48, 8.38, 8.38, 0.00, 0.00
49, 8.20, 8.20, 0.00, 0.00
50, 8.82, 8.82, 0.00, 0.00
51, 8.47, 8.47, 0.00, 0.00
52, 7.78, 7.78, 0.00, 0.00
53, 7.25, 7.25, 0.00, 0.00
54, 8.80, 8.80, 0.00, 0.00
55, 7.34, 7.34, 0.00, 0.00
56, 8.15, 8.15, 0.00, 0.00
57, 8.44, 8.44, 0.00, 0.00
58, 8.17, 8.17, 0.00, 0.00
59, 7.91, 7.91, 0.00, 0.00
60, 7.65, 7.65, 0.00, 0.00
61, 7.62, 7.62, 0.00, 0.00
62, 7.31, 7.31, 0.00, 0.00
63, 7.74, 7.74, 0.00, 0.00
64, 8.27, 8.27, 0.00, 0.00
65, 7.36, 7.36, 0.00, 0.00
66, 8.39, 8.39, 0.00, 0.00
67, 7.69, 7.69, 0.00, 0.00
68, 8.16, 8.16, 0.00, 0.00
69, 7.45, 7.45, 0.00, 0.00
70, 8.17, 8.17, 0.00, 0.00
71, 7.66, 7.66, 0.00, 0.00
72, 7.90, 7.90, 0.00, 0.00
73, 7.80, 7.80, 0.00, 0.00
74, 8.39, 8.39, 0.00, 0.00
75, 7.33, 7.33, 0.00, 0.00
76, 7.82, 7.82, 0.00, 0.00
77, 8.53, 8.53, 0.00, 0.00
78, 7.67, 7.67, 0.00, 0.00
79, 7.87, 7.87, 0.00, 0.00
80, 7.85, 7.85, 0.00, 0.00
81, 7.93, 7.93, 0.00, 0.00
82, 8.31, 8.31, 0.00, 0.00
83, 7.66, 7.66, 0.00, 0.00
84, 8.05, 8.05, 0.00, 0.00
85, 7.92, 7.92, 0.00, 0.00
86, 8.34, 8.34, 0.00, 0.00
87, 8.44, 8.44, 0.00, 0.00
88, 7.79, 7.79, 0.00, 0.00
89, 7.45, 7.45, 0.00, 0.00
90, 7.93, 7.93, 0.00, 0.00
91, 7.39, 7.39, 0.00, 0.00
92, 8.61, 8.61, 0.00, 0.00
93, 8.11, 8.11, 0.00, 0.00
94, 8.10, 8.10, 0.00, 0.00
95, 8.65, 8.65, 0.00, 0.00
96, 7.47, 7.47, 0.00, 0.00
97, 7.95, 7.95, 0.00, 0.00
98, 8.24, 8.24, 0.00, 0.00
99, 8.13, 8.13, 0.00, 0.00
100, 7.84, 7.84, 0.00, 0.00
101, 8.11, 8.11, 0.00, 0.00
102, 8.27, 8.27, 0.00, 0.00
103, 8.20, 8.20, 0.00, 0.00
104, 7.63, 7.63, 0.00, 0.00
105, 8.08, 8.08, 0.00, 0.00
106, 7.89, 7.89, 0.00, 0.00
107, 8.39, 8.39, 0.00, 0.00
108, 10.98, 10.98, 0.00, 0.00
109, 7.17, 7.17, 0.00, 0.00
110, 7.41, 7.41, 0.00, 0.00
111, 7.51, 7.51, 0.00, 0.00
112, 7.29, 7.29, 0.00, 0.00
113, 7.88, 7.88, 0.00, 0.00
114, 7.85, 7.85, 0.00, 0.00
115, 8.37, 8.37, 0.00, 0.00
116, 7.59, 7.59, 0.00, 0.00
117, 8.33, 8.33, 0.00, 0.00
118, 7.77, 7.77, 0.00, 0.00
119, 8.04, 8.04, 0.00, 0.00
120, 8.14, 8.14, 0.00, 0.00
121, 7.91, 7.91, 0.00, 0.00
122, 7.90, 7.90, 0.00, 0.00
123, 7.84, 7.84, 0.00, 0.00
124, 8.13, 8.13, 0.00, 0.00
125, 7.85, 7.85, 0.00, 0.00
126, 7.88, 7.88, 0.00, 0.00
127, 8.02, 8.02, 0.00, 0.00
128, 8.40, 8.40, 0.00, 0.00
129, 7.66, 7.66, 0.00, 0.00
130, 7.97, 7.97, 0.00, 0.00
131, 8.10, 8.10, 0.00, 0.00
132, 8.46, 8.46, 0.00, 0.00
133, 7.17, 7.17, 0.00, 0.00
134, 7.81, 7.81, 0.00, 0.00
135, 7.96, 7.96, 0.00, 0.00
136, 8.08, 8.08, 0.00, 0.00
137, 8.00, 8.00, 0.00, 0.00
138, 7.80, 7.80, 0.00, 0.00
139, 8.22, 8.22, 0.00, 0.00
140, 7.51, 7.51, 0.00, 0.00
141, 7.81, 7.81, 0.00, 0.00
142, 8.02, 8.02, 0.00, 0.00
143, 8.22, 8.22, 0.00, 0.00
144, 7.49, 7.49, 0.00, 0.00
145, 7.96, 7.96, 0.00, 0.00
146, 7.90, 7.90, 0.00, 0.00
147, 7.88, 7.88, 0.00, 0.00
148, 8.12, 8.12, 0.00, 0.00
149, 7.61, 7.61, 0.00, 0.00
150, 7.94, 7.94, 0.00, 0.00
151, 8.01, 8.01, 0.00, 0.00
152, 8.13, 8.13, 0.00, 0.00
153, 7.43, 7.43, 0.00, 0.00
154, 8.07, 8.07, 0.00, 0.00
155, 7.42, 7.42, 0.00, 0.00
156, 7.72, 7.72, 0.00, 0.00
157, 7.76, 7.76, 0.00, 0.00
158, 7.75, 7.75, 0.00, 0.00
159, 7.55, 7.55, 0.00, 0.00
160, 7.98, 7.98, 0.00, 0.00
161, 7.53, 7.53, 0.00, 0.00
162, 8.11, 8.11, 0.00, 0.00
163, 7.58, 7.58, 0.00, 0.00
164, 7.77, 7.77, 0.00, 0.00
165, 7.92, 7.92, 0.00, 0.00
166, 7.61, 7.61, 0.00, 0.00
167, 7.60, 7.60, 0.00, 0.00
168, 8.58, 8.58, 0.00, 0.00
169, 7.66, 7.66, 0.00, 0.00
170, 8.77, 8.77, 0.00, 0.00
171, 8.66, 8.66, 0.00, 0.00
172, 7.95, 7.95, 0.00, 0.00
173, 7.51, 7.51, 0.00, 0.00
174, 7.82, 7.82, 0.00, 0.00
175, 7.93, 7.93, 0.00, 0.00
176, 7.48, 7.48, 0.00, 0.00
177, 7.38, 7.38, 0.00, 0.00
178, 7.84, 7.84, 0.00, 0.00
179, 7.45, 7.45, 0.00, 0.00
180, 7.91, 7.91, 0.00, 0.00
181, 7.89, 7.89, 0.00, 0.00
182, 7.91, 7.91, 0.00, 0.00
183, 8.12, 8.12, 0.00, 0.00
184, 7.77, 7.77, 0.00, 0.00
185, 7.81, 7.81, 0.00, 0.00
186, 8.33, 8.33, 0.00, 0.00
187, 7.85, 7.85, 0.00, 0.00
188, 7.89, 7.89, 0.00, 0.00
189, 7.95, 7.95, 0.00, 0.00
190, 8.27, 8.27, 0.00, 0.00
191, 7.65, 7.65, 0.00, 0.00
192, 8.22, 8.22, 0.00, 0.00
193, 7.44, 7.44, 0.00, 0.00
194, 8.30, 8.30, 0.00, 0.00
195, 8.10, 8.10, 0.00, 0.00
196, 8.41, 8.41, 0.00, 0.00
197, 8.96, 8.96, 0.00, 0.00
198, 7.54, 7.54, 0.00, 0.00
199, 7.46, 7.46, 0.00, 0.00
200, 7.48, 7.48, 0.00, 0.00
201, 7.50, 7.50, 0.00, 0.00
202, 8.32, 8.32, 0.00, 0.00
203, 8.48, 8.48, 0.00, 0.00
204, 7.70, 7.70, 0.00, 0.00
205, 7.85, 7.85, 0.00, 0.00
206, 7.68, 7.68, 0.00, 0.00
207, 8.38, 8.38, 0.00, 0.00
208, 7.48, 7.48, 0.00, 0.00
209, 8.38, 8.38, 0.00, 0.00
210, 7.70, 7.70, 0.00, 0.00
211, 8.03, 8.03, 0.00, 0.00
212, 7.94, 7.94, 0.00, 0.00
213, 8.22, 8.22, 0.00, 0.00
214, 7.63, 7.63, 0.00, 0.00
215, 8.25, 8.25, 0.00, 0.00
216, 7.78, 7.78, 0.00, 0.00
217, 8.14, 8.14, 0.00, 0.00
218, 8.17, 8.17, 0.00, 0.00
219, 8.41, 8.41, 0.00, 0.00
220, 8.19, 8.19, 0.00, 0.00
221, 7.82, 7.82, 0.00, 0.00
222, 8.59, 8.59, 0.00, 0.00
223, 7.85, 7.85, 0.00, 0.00
224, 8.48, 8.48, 0.00, 0.00
225, 7.94, 7.94, 0.00, 0.00
226, 8.40, 8.40, 0.00, 0.00
227, 8.02, 8.02, 0.00, 0.00
228, 8.21, 8.21, 0.00, 0.00
229, 8.63, 8.63, 0.00, 0.00
